state,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,2008_dem_%_vote,2008_rep_%_vote,2008_other_%_vote,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,police_per_1000,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
VA,York County,6.3,65464.0,0.939004644,0.060995356,0.004154955,0.017826592,0.002306611,29740.50434,30020.12821,29866.16351,0.002938562,0.40416556,0.585096026,0.010738413,16.07,93.0,41.0,8.0,0.5,1.7108639863130881,74.04,13.14,4.84,0.34,4.42,3.43
WA,Adams County,9.5,18728.0,0.5984088,0.4015912,0.003310551,0.016659547,0.001815463,29690.93851,35613.95028,33980.78309,0.001151751,0.319473034,0.6632359,0.017291066,15.84,81.0,12.0,10.0,1.2,1.49508756941478,38.78,0.25,0.53,0.41,59.26,2.84
WA,Asotin County,8.5,21623.0,0.933450493,0.066549507,0.001849882,0.016972668,0.001849882,26369.88417,31043.89465,28475.37,0.002153725,0.423210634,0.557361963,0.019427403,27.21,79.0,19.0,10.0,0.5,0.6474587245063127,92.61,0.41,0.53,1.26,2.97,2.41
WA,Benton County,7.1,175177.0,0.894289775,0.105710225,0.002180652,0.017804849,0.00195802,36772.6256,58152.30601,47820.49346,0.003522152,0.360549163,0.621922618,0.017528219,17.79,80.0,26.0,10.0,0.5,0.3824703014665167,74.46,1.16,2.64,0.73,18.66,3.55
WA,Chelan County,8.1,72453.0,0.727754544,0.272245456,0.00161484,0.02967441,0.001863277,31042.11925,42631.52484,34935.19549,0.003439609,0.431222229,0.550879279,0.017898492,19.02,72.0,22.0,9.0,0.7,0.9109353649952383,70.67,0.24,0.79,0.71,25.83,2.75
WA,Clallam County,10.0,71404.0,0.645468041,0.354531959,0.002688925,0.026875245,0.001498515,28795.22924,36960.13643,30971.08447,0.002044703,0.505464836,0.472468133,0.022067032,24.35,62.0,22.0,9.0,0.4,0.6022071592627865,84.59,0.78,1.39,4.66,5.08,3.8
WA,Clark County,11.7,425363.0,0.862315246,0.137684754,0.002325073,0.018459528,0.001229538,35261.25116,46704.80168,40169.74197,0.001631548,0.521743888,0.460769079,0.017487032,19.33,77.0,25.0,11.0,0.3,0.5007487722251347,81.76,1.89,4.06,0.7,7.56,4.05
WA,Columbia County,8.5,4078.0,0.657430113,0.342569887,0.000980873,0.025012261,0.001961746,36037.97468,0.0,29763.83266,0.001716528,0.307899461,0.672800718,0.01929982,21.99,89.0,19.0,8.0,0.0,3.4330554193231975,89.48,0.29,0.56,1.15,6.23,2.67
WA,Cowlitz County,11.7,102410.0,0.713485011,0.286514989,0.003193048,0.018152524,0.001816229,31915.22204,51534.3829,40179.36295,0.003046577,0.543832497,0.432333238,0.023834266,25.28,66.0,13.0,12.0,0.5,0.5370569280343717,85.76,0.56,1.44,1.33,7.79,3.73
WA,Douglas County,8.8,38431.0,0.73404283,0.26595717,0.001769405,0.014805756,0.00195155,29412.48694,25470.0816,27971.16341,0.003406104,0.384509172,0.598198435,0.017292393,19.67,81.0,18.0,11.0,0.6,0.8847024537482762,67.84,0.22,0.7,0.76,28.66,2.63
